//0
//Oxygen, 1.045
//Nitrate, 1, 1, 0,0,
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		802.00	0	4.2300	0	34.4300	0	27.309	0	192.59	0	59.62	0	33.60	0	0.02	0	0.000141	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		800.00	0	4.2340	0	34.4280	0	27.307	0	192.80	0	59.69	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		798.00	0	4.2380	0	34.4270	0	27.305	0	193.01	0	59.76	0		8	0.01	0	0.000143	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		796.00	0	4.2420	0	34.4270	0	27.305	0	193.22	0	59.83	0		8	0.02	0	0.000140	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		794.00	0	4.2480	0	34.4260	0	27.304	0	193.43	0	59.90	0		8	0.02	0	0.000142	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		792.00	0	4.2510	0	34.4250	0	27.303	0	193.74	0	60.00	0		8	0.02	0	0.000143	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		790.00	0	4.2600	0	34.4230	0	27.300	0	193.95	0	60.08	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		788.00	0	4.2680	0	34.4220	0	27.298	0	194.27	0	60.19	0		8	0.02	0	0.000145	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		786.00	0	4.2730	0	34.4210	0	27.297	0	194.47	0	60.26	0		8	0.02	0	0.000143	0	2.04	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		784.00	0	4.2830	0	34.4200	0	27.295	0	194.89	0	60.40	0		8	0.02	0	0.000145	0	2.05	0
